"gen","predicted.value","std.error","status"
"G241",2451.09054369035,109.130529933585,"Estimable"
"G242",2627.51835836537,159.12979300554,"Estimable"
"G244",2620.17832752485,104.292302936859,"Estimable"
"G245",2751.75206274165,145.963228815862,"Estimable"
"G246",2625.80889807621,91.7792237799954,"Estimable"
"G253",2530.51843154758,206.315071131526,"Estimable"
"G255",2645.82409970863,149.316585656443,"Estimable"
"G262",2698.79677201727,160.219280495904,"Estimable"
"G263",2538.13100191616,162.734574233873,"Estimable"
"G264",2390.34421947747,223.446929446002,"Estimable"
"G269",2471.90669722723,228.981535156752,"Estimable"
"G275",2151.95366707438,166.514574418263,"Estimable"
"G278",2357.41602741773,162.888775464525,"Estimable"
"G283",2297.06559292666,168.775332430065,"Estimable"
"G285",2138.74528290945,161.261314071517,"Estimable"
"G287",2109.92393324467,164.734588049136,"Estimable"
"G290",2559.41518259519,162.946468327156,"Estimable"
"G294",2444.34085293397,163.017143991624,"Estimable"
"G297",2494.79922595706,162.946468327156,"Estimable"
"G307",2356.32733443419,204.393337740327,"Estimable"
"G308",2493.28401676531,188.379447105579,"Estimable"
"G310",2559.67104796856,193.41199934974,"Estimable"
"G311",2625.52912809098,133.779180287091,"Estimable"
"G312",2427.09471024957,197.800663255683,"Estimable"
"G314",2579.40126696747,230.70230372734,"Estimable"
"G315",2619.55762251766,128.191263365626,"Estimable"
"G318",2691.58901136474,146.260064824916,"Estimable"
"G319",2685.96578736124,128.059240524025,"Estimable"
"G320",2572.50784196369,212.112016030535,"Estimable"
"G321",2490.21277585477,109.505710213712,"Estimable"
"G322",2601.80587103172,191.060085077599,"Estimable"
"G323",2408.87622526678,191.679781941499,"Estimable"
"G335",2208.68943767121,146.298324937275,"Estimable"
"G338",2756.726682682,189.982584594791,"Estimable"
"G341",2711.90647571978,175.4302116693,"Estimable"
"G342",2573.09658941499,189.520840367947,"Estimable"
"G359",2799.62289798845,106.40625865233,"Estimable"
"G365",2600.64555112275,58.3887733941755,"Estimable"
